nb_sommets,mesure,taille_composante,lg moyenne
0,page Rank,1.0,4.004781037462683
1,page Rank,1.0,4.073057193862563
2,page Rank,0.7306397306397306,2.694330694330694
3,page Rank,0.7162162162162162,2.5923728813559324
4,page Rank,0.7186440677966102,2.525792689957339
5,page Rank,0.46938775510204084,1.0537948967983097
6,page Rank,0.4709897610921502,1.0554958156061527
7,page Rank,0.21232876712328766,0.33691098244127476
8,page Rank,0.21305841924398625,0.33743334518307855
9,page Rank,0.14482758620689656,0.20818518076601839
10,page Rank,0.1453287197231834,0.19898596693579393
11,page Rank,0.14583333333333334,0.18587882307394502
12,page Rank,0.10452961672473868,0.13830072366657734
13,page Rank,0.1048951048951049,0.1282051282051282
14,page Rank,0.10526315789473684,0.12900914257474672
15,page Rank,0.1056338028169014,0.11314885781117802
16,page Rank,0.10600706713780919,0.10913966368443476
17,page Rank,0.10638297872340426,0.10729158779435148
18,page Rank,0.10676156583629894,0.10650737163192679
19,page Rank,0.10714285714285714,0.09715821812596007
20,page Rank,0.10752688172043011,0.09643897784997808
21,page Rank,0.1079136690647482,0.09490169597174246
22,page Rank,0.10830324909747292,0.09548474860042903
23,page Rank,0.10869565217391304,0.09565217391304348
24,page Rank,0.10909090909090909,0.09624419376244193
25,page Rank,0.10948905109489052,0.08636132723723965
26,page Rank,0.06593406593406594,0.05648028442146089
27,page Rank,0.0661764705882353,0.05296288257000217
28,page Rank,0.06642066420664207,0.053163864971983055
29,page Rank,0.05925925925925926,0.05154894671623296
30,page Rank,0.05947955390334572,0.05185041336070576
31,page Rank,0.05223880597014925,0.0472636815920398
32,page Rank,0.052434456928838954,0.04632367435442539
33,page Rank,0.05263157894736842,0.04664491417222301
34,page Rank,0.052830188679245285,0.04676958261863922
35,page Rank,0.04924242424242424,0.04338057379882475
36,page Rank,0.049429657794676805,0.04226047078628857
37,page Rank,0.04961832061068702,0.0421748413325144
38,page Rank,0.04980842911877394,0.040524609490126734
39,page Rank,0.05,0.03786753786753787
40,page Rank,0.05019305019305019,0.0369938044356649
41,page Rank,0.050387596899224806,0.03698006213615661
42,page Rank,0.05058365758754864,0.03720817120622568
43,page Rank,0.05078125,0.03560049019607843
44,page Rank,0.050980392156862744,0.030384437239462714
45,page Rank,0.047244094488188976,0.026765429024929194
46,page Rank,0.04743083003952569,0.025346634042286216
47,page Rank,0.047619047619047616,0.02510592550433188
48,page Rank,0.04780876494023904,0.025179282868525898
49,page Rank,0.04,0.024032128514056224
50,page Rank,0.040160642570281124,0.02325430755279181
51,page Rank,0.04032258064516129,0.020406164294109963
52,page Rank,0.04048582995951417,0.01915670978572134
53,page Rank,0.04065040650406504,0.018549858967977433
54,page Rank,0.04081632653061224,0.018200066912010707
55,page Rank,0.040983606557377046,0.017945085340349456
56,page Rank,0.0411522633744856,0.018025371560725097
57,page Rank,0.04132231404958678,0.016186001851788347
58,page Rank,0.04149377593360996,0.01379668049792531
59,page Rank,0.041666666666666664,0.013668061366806136
60,page Rank,0.04184100418410042,0.0136422769944798
61,page Rank,0.04201680672268908,0.013721944473992128
62,page Rank,0.04219409282700422,0.013695201315883573
63,page Rank,0.0423728813559322,0.013667508113956004
64,page Rank,0.0425531914893617,0.013638843426077468
65,page Rank,0.042735042735042736,0.013425773082425443
66,page Rank,0.04291845493562232,0.01343051650140595
67,page Rank,0.04310344827586207,0.013509479026720407
68,page Rank,0.04329004329004329,0.013476378693769999
69,page Rank,0.043478260869565216,0.01344218720334156
70,page Rank,0.043668122270742356,0.013521795755764959
71,page Rank,0.043859649122807015,0.013486359069479868
72,page Rank,0.04405286343612335,0.013566722544930023
73,page Rank,0.04424778761061947,0.013647984267453294
74,page Rank,0.044444444444444446,0.013412698412698413
75,page Rank,0.044642857142857144,0.0134929532351057
76,page Rank,0.04484304932735426,0.01357411222882075
77,page Rank,0.04504504504504504,0.011495658554482084
78,page Rank,0.02262443438914027,0.008556149732620321
79,page Rank,0.022727272727272728,0.008509755085097551
80,page Rank,0.0228310502283105,0.00821079971513552
81,page Rank,0.022935779816513763,0.00824419735340126
82,page Rank,0.02304147465437788,0.008277863116572795
83,page Rank,0.023148148148148147,0.008311800172265288
84,page Rank,0.023255813953488372,0.007998261247554879
85,page Rank,0.02336448598130841,0.008029485323153876
86,page Rank,0.023474178403755867,0.007795198866152892
87,page Rank,0.02358490566037736,0.007690244120540105
88,page Rank,0.023696682464454975,0.007718348002708192
89,page Rank,0.023809523809523808,0.007609933925723399
90,page Rank,0.023923444976076555,0.0076370997423629
91,page Rank,0.02403846153846154,0.007060572277963582
92,page Rank,0.024154589371980676,0.006988415177524506
93,page Rank,0.024271844660194174,0.006298839687426
94,page Rank,0.024390243902439025,0.006169296987087518
95,page Rank,0.024509803921568627,0.00603689751762774
96,page Rank,0.024630541871921183,0.006047895429937083
97,page Rank,0.024752475247524754,0.006058814836707551
98,page Rank,0.024875621890547265,0.005920398009950248
99,page Rank,0.025,0.005829145728643216
