nb_sommets,mesure#1,taille_composante#1,lg moyenne#1,mesure#2,taille_composante#2,lg moyenne#2,mesure#3,taille_composante#3,lg moyenne#3,mesure#4,taille_composante#4,lg moyenne#4,mesure#5,taille_composante#5,lg moyenne#5
0,Degree,1.0,5.905479113824605,Betweenness,1.0,4.004781037462683,Page Rank,1.0,3.9997530919620212,Eccentricity,1.0,4.383627752463469
1,Degree,0.46308724832214765,1.870381669039387,Betweenness,1.0,4.001175061577746,Page Rank,1.0,4.000971685535444,Eccentricity,0.6510067114093959,2.55078751723047
2,Degree,0.42424242424242425,1.1814541814541815,Betweenness,1.0,4.000637000637001,Page Rank,1.0,4.0003412503412505,Eccentricity,0.6531986531986532,2.4425789425789426
3,Degree,0.42567567567567566,1.0631699496106275,Betweenness,1.0,3.996885020613834,Page Rank,1.0,4.000045808520385,Eccentricity,0.6554054054054054,2.459138799816766
4,Degree,0.2542372881355932,0.4759137553326415,Betweenness,1.0,3.9871786002536607,Page Rank,1.0,4.00292862907875,Eccentricity,0.6576271186440678,2.4757062146892657
5,Degree,0.16326530612244897,0.2972998072949316,Betweenness,1.0,3.980334796034455,Page Rank,1.0,4.009426296115716,Eccentricity,0.6598639455782312,2.492605233219568
6,Degree,0.16382252559726962,0.2853335826826874,Betweenness,1.0,3.9831689186030204,Page Rank,1.0,4.0071064565898356,Eccentricity,0.6621160409556314,2.509654495301323
7,Degree,0.1643835616438356,0.2308054417925905,Betweenness,1.0,3.976180388833969,Page Rank,1.0,4.003601186273126,Eccentricity,0.6643835616438356,2.5269029798051124
8,Degree,0.16494845360824742,0.22303590472804835,Betweenness,1.0,3.976087214124896,Page Rank,1.0,3.999170517833867,Eccentricity,0.6666666666666666,2.547742623533594
9,Degree,0.16551724137931034,0.22801574991051188,Betweenness,1.0,3.968595632979358,Page Rank,1.0,4.000739768524043,Eccentricity,0.6689655172413793,2.5629877102971004
10,Degree,0.10380622837370242,0.13917723952326028,Betweenness,1.0,3.9646530180699733,Page Rank,1.0,4.006752210688197,Eccentricity,0.671280276816609,2.5807862360630525
11,Degree,0.10416666666666667,0.12741966705381338,Betweenness,1.0,3.9572444831591174,Page Rank,1.0,4.001306620209059,Eccentricity,0.6736111111111112,2.5987708091366626
12,Degree,0.10452961672473868,0.1289198606271777,Betweenness,1.0,3.9565312736044445,Page Rank,1.0,4.001193928023197,Eccentricity,0.6759581881533101,2.61684656806608
13,Degree,0.1048951048951049,0.12727272727272726,Betweenness,1.0,3.952570236780763,Page Rank,1.0,4.000956937799043,Eccentricity,0.6783216783216783,2.635210403631456
14,Degree,0.10526315789473684,0.11717321472695824,Betweenness,1.0,3.9517420311341733,Page Rank,1.0,3.9939214232765012,Eccentricity,0.6807017543859649,2.65376822337534
15,Degree,0.10211267605633803,0.11825013686358433,Betweenness,1.0,3.9445329219131042,Page Rank,1.0,3.9882048474593144,Eccentricity,0.6830985915492958,2.67227392624297
16,Degree,0.10247349823321555,0.11375084580106759,Betweenness,1.0,3.9475227426509285,Page Rank,1.0,3.9879207077162118,Eccentricity,0.6855123674911661,2.6912262235922113
17,Degree,0.10283687943262411,0.11244037252971908,Betweenness,1.0,3.9475025870119382,Page Rank,1.0,3.989550995684107,Eccentricity,0.6879432624113475,2.7102799020721333
18,Degree,0.10320284697508897,0.10040671072699542,Betweenness,1.0,3.9500508388408746,Page Rank,1.0,3.9897559735638026,Eccentricity,0.6903914590747331,2.7296390442297915
19,Degree,0.10357142857142858,0.09795186891961086,Betweenness,1.0,3.9558883768561186,Page Rank,1.0,3.9956477214541732,Eccentricity,0.6928571428571428,2.749206349206349
20,Degree,0.1039426523297491,0.08640829272066218,Betweenness,1.0,3.955571027049328,Page Rank,1.0,4.001598721023181,Eccentricity,0.6953405017921147,2.7573554059977825
21,Degree,0.10431654676258993,0.08560371919071241,Betweenness,1.0,3.9502116718177804,Page Rank,1.0,4.001090824091629,Eccentricity,0.697841726618705,2.777264109290185
22,Degree,0.10469314079422383,0.08614555538115419,Betweenness,1.0,3.9519960236488254,Page Rank,1.0,4.000863286768168,Eccentricity,0.7003610108303249,2.7973892115314185
23,Degree,0.06521739130434782,0.05557312252964427,Betweenness,1.0,3.944400527009223,Page Rank,1.0,4.002740447957839,Eccentricity,0.7028985507246377,2.817707509881423
24,Degree,0.05818181818181818,0.04679495686794957,Betweenness,1.0,3.9451094890510947,Page Rank,1.0,4.00371599203716,Eccentricity,0.7054545454545454,2.838274717982747
25,Degree,0.058394160583941604,0.042378546028181065,Betweenness,1.0,3.941418678644956,Page Rank,1.0,3.999064196144488,Eccentricity,0.708029197080292,2.855592096468009
26,Degree,0.04395604395604396,0.036010558069381596,Betweenness,1.0,3.9343622064210297,Page Rank,1.0,4.005629174746822,Eccentricity,0.7106227106227107,2.8765890971773325
27,Degree,0.04411764705882353,0.03345452572172781,Betweenness,1.0,3.9374321684393316,Page Rank,1.0,3.999593010635989,Eccentricity,0.7132352941176471,2.8977914043846322
28,Degree,0.04428044280442804,0.02952029520295203,Betweenness,1.0,3.937078037447041,Page Rank,1.0,3.9890392237255705,Eccentricity,0.7158671586715867,2.9192565258985925
29,Degree,0.044444444444444446,0.02720638854467851,Betweenness,1.0,3.932672449401074,Page Rank,1.0,3.9854330166597824,Eccentricity,0.7185185185185186,2.9409334985543163
30,Degree,0.04460966542750929,0.02463518837041558,Betweenness,1.0,3.9342229373578204,Page Rank,1.0,3.9819120013316316,Eccentricity,0.7211895910780669,2.9628807634689007
