nb_sommets,mesure,taille_composante,lg moyenne
0,eccentricity,1.0,4.383627752463469
1,eccentricity,0.6510067114093959,2.55078751723047
2,eccentricity,0.42424242424242425,1.1814541814541815
3,eccentricity,0.42567567567567566,1.0631699496106275
4,eccentricity,0.4271186440677966,1.024143894846074
5,eccentricity,0.42857142857142855,1.0206635555245989
6,eccentricity,0.4300341296928328,1.0275608957875544
7,eccentricity,0.4315068493150685,1.0301040342701124
8,eccentricity,0.4329896907216495,1.0103566773314374
9,eccentricity,0.43448275862068964,1.013888557451378
10,eccentricity,0.4359861591695502,1.0198241061130335
11,eccentricity,0.4375,1.0245112272551298
12,eccentricity,0.43902439024390244,1.0316269096756903
13,eccentricity,0.4405594405594406,1.037590479695743
14,eccentricity,0.4421052631578947,1.043859649122807
15,eccentricity,0.44366197183098594,1.0512367491166077
16,eccentricity,0.4452296819787986,1.0583915996291007
17,eccentricity,0.44680851063829785,1.065924635925393
18,eccentricity,0.4483985765124555,1.073512963904423
19,eccentricity,0.45,1.0811059907834102
20,eccentricity,0.45161290322580644,1.0888579459013434
21,eccentricity,0.45323741007194246,1.0966937641222763
22,eccentricity,0.4548736462093863,1.1046408203840319
23,eccentricity,0.45652173913043476,1.1126745718050066
24,eccentricity,0.4581818181818182,1.1207962840079628
25,eccentricity,0.45985401459854014,1.1290072457955669
26,eccentricity,0.46153846153846156,1.1372818358112475
27,eccentricity,0.4632352941176471,1.1456750596917733
28,eccentricity,0.46494464944649444,1.154161541615416
29,eccentricity,0.4666666666666667,1.1627426683188764
30,eccentricity,0.4684014869888476,1.1714198524108084
31,eccentricity,0.20149253731343283,0.3371066018223489
32,eccentricity,0.20224719101123595,0.3219847371237081
33,eccentricity,0.20300751879699247,0.24102709604199177
34,eccentricity,0.10943396226415095,0.1384505431675243
35,eccentricity,0.10984848484848485,0.13270538080424013
36,eccentricity,0.11026615969581749,0.1208603024410066
37,eccentricity,0.11068702290076336,0.10426720481998186
38,eccentricity,0.1111111111111111,0.08520483348069555
39,eccentricity,0.11153846153846154,0.08277398277398278
40,eccentricity,0.11196911196911197,0.08158989554338392
41,eccentricity,0.08527131782945736,0.07031037915120804
42,eccentricity,0.08171206225680934,0.06918774319066148
43,eccentricity,0.08203125,0.06709558823529412
44,eccentricity,0.08235294117647059,0.06700633009109155
45,eccentricity,0.08267716535433071,0.06741153403255423
46,eccentricity,0.08300395256916997,0.06794654620741578
47,eccentricity,0.08333333333333333,0.06617972554227534
48,eccentricity,0.08366533864541832,0.06103585657370518
49,eccentricity,0.084,0.06149397590361446
50,eccentricity,0.08433734939759036,0.061730794144319215
51,eccentricity,0.0846774193548387,0.057986156458142875
52,eccentricity,0.08502024291497975,0.0579967742997268
53,eccentricity,0.08536585365853659,0.05717604114816659
54,eccentricity,0.08571428571428572,0.057310137169621946
55,eccentricity,0.0860655737704918,0.0535991364770964
56,eccentricity,0.08641975308641975,0.05404210454715505
57,eccentricity,0.08677685950413223,0.05435341723534858
58,eccentricity,0.08713692946058091,0.053319502074688795
59,eccentricity,0.0875,0.052963737796373776
60,eccentricity,0.08786610878661087,0.05288140360746809
61,eccentricity,0.08823529411764706,0.05325674573626919
62,eccentricity,0.08860759493670886,0.05163412715440177
63,eccentricity,0.08898305084745763,0.04944103858636855
64,eccentricity,0.08936170212765958,0.0497181305691944
65,eccentricity,0.08974358974358974,0.0499981658779942
66,eccentricity,0.09012875536480687,0.05042918454935622
67,eccentricity,0.09051724137931035,0.05071652485445589
68,eccentricity,0.09090909090909091,0.05100696405044231
69,eccentricity,0.09130434782608696,0.05145243971900513
70,eccentricity,0.09170305676855896,0.05190377690952271
71,eccentricity,0.09210526315789473,0.05201329314475616
72,eccentricity,0.09251101321585903,0.05036840668979767
73,eccentricity,0.09292035398230089,0.04790560471976401
74,eccentricity,0.09333333333333334,0.048214285714285716
75,eccentricity,0.09375,0.048606662395900065
76,eccentricity,0.09417040358744394,0.04904456025532259
77,eccentricity,0.0945945945945946,0.0494884024295789
78,eccentricity,0.09502262443438914,0.04956807897984369
79,eccentricity,0.09545454545454546,0.050020755500207556
80,eccentricity,0.0958904109589041,0.050186418667001804
81,eccentricity,0.0963302752293578,0.0504798545639031
82,eccentricity,0.0967741935483871,0.05090459122717187
83,eccentricity,0.09722222222222222,0.05137812230835487
84,eccentricity,0.09767441860465116,0.051858291675722666
85,eccentricity,0.09813084112149532,0.052169716116010706
86,eccentricity,0.09859154929577464,0.052041810612100274
87,eccentricity,0.09905660377358491,0.05240096575158723
88,eccentricity,0.0995260663507109,0.05285488603024148
89,eccentricity,0.1,0.0531784005468216
90,eccentricity,0.10047846889952153,0.05368973132131027
91,eccentricity,0.10096153846153846,0.05411557041991825
92,eccentricity,0.10144927536231885,0.05464096430749027
93,eccentricity,0.10194174757281553,0.05484252900781435
94,eccentricity,0.1024390243902439,0.05538020086083214
95,eccentricity,0.10294117647058823,0.05592581860330339
96,eccentricity,0.10344827586206896,0.05647953957957372
97,eccentricity,0.10396039603960396,0.05704152504802719
98,eccentricity,0.1044776119402985,0.05761194029850746
99,eccentricity,0.105,0.05819095477386935
